0 (1,1)
1 (2,1) 0/2
2 (3,1) 0/2
3 (3,2) 0/2
4 (3,3) 0/2
5 (3,2) 0/2
6 (2,2) 0/2
7 (1,2) 0/2
8 (2,2) 0/2
9 (2,1) 0/2
10 (2,2) 0/2
11 (3,2) 0/2
12 (3,1) 0/2
13 (2,1) 0/2
14 (2,2) 0/2
15 (2,3) 0/2
16 (2,4) 0/2
17 (2,5) 0/2
18 (2,6) 0/2
19 (2,5) 0/2
20 (2,6) 0/2
21 (2,5) 0/2
22 (2,6) 0/2
23 (3,6) 0/2
24 (4,6) 0/2
25 (5,6) 0/2
26 (4,6) 0/2
27 (4,5) 0/2
28 (4,6) 0/2
29 (5,6) 0/2
30 (5,5) 0/2
31 (4,5) 0/2
32 (4,6) 0/2
33 (3,6) 0/2
34 (2,6) 0/2
35 (1,6) 0/2
36 (1,5) 0/2
37 (1,6) 0/2
38 (1,7) 0/2
39 (2,7) 0/2
40 (2,8) 0/2
41 (2,7) 0/2
42 (1,7) 0/2
43 (1,8) 1/2
44 (1,9) 1/2
45 (1,8) 1/2
46 (1,7) 1/2
47 (1,8) 1/2
48 (1,9) 1/2
49 (1,8) 1/2
50 (1,7) 1/2
51 (1,8) 1/2
52 (1,7) 1/2
53 (1,8) 1/2
54 (2,8) 1/2
55 (2,7) 1/2
56 (2,8) 1/2
57 (1,8) 1/2
58 (2,8) 1/2
59 (2,7) 1/2
60 (2,6) 1/2
61 (1,6) 1/2
62 (1,7) 1/2
63 (1,8) 1/2
64 (1,7) 1/2
65 (1,8) 1/2
66 (2,8) 1/2
67 (2,7) 1/2
68 (2,6) 1/2
69 (2,5) 1/2
70 (2,6) 1/2
71 (1,6) 1/2
72 (1,7) 1/2
73 (2,7) 1/2
74 (2,8) 1/2
75 (1,8) 1/2
76 (2,8) 1/2
77 (2,7) 1/2
78 (3,7) 1/2
79 (3,6) 1/2
80 (4,6) 1/2
81 (4,5) 1/2
82 (4,6) 1/2
83 (5,6) 1/2
84 (5,7) 1/2
85 (6,7) 1/2
86 (7,7) 1/2
87 (7,8) 1/2
88 (7,7) 1/2
89 (6,7) 1/2
90 (5,7) 1/2
91 (6,7) 1/2
92 (7,7) 1/2
93 (7,6) 1/2
94 (7,7) 1/2
95 (7,6) 1/2
96 (7,5) 1/2
97 (6,5) 1/2
98 (6,6) 1/2
99 (7,6) 1/2
100 (7,7) 1/2
101 (8,7) 1/2
102 (8,6) 1/2
103 (9,6) 1/2
104 (9,7) 1/2
105 (9,8) 1/2
106 (10,8) 1/2
107 (10,7) 1/2
108 (10,8) 1/2
109 (10,9) 1/2
110 (10,8) 1/2
111 (10,9) 1/2
112 (9,9) 1/2
113 (10,9) 1/2
114 (10,8) 1/2
115 (10,9) 1/2
116 (9,9) 1/2
117 (9,10) 1/2
118 (10,10) 1/2
119 (9,10) 1/2
120 (8,10) 1/2
121 (9,10) 1/2
122 (10,10) 1/2
123 (9,10) 1/2
124 (9,9) 1/2
125 (10,9) 1/2
126 (9,9) 1/2
127 (9,10) 1/2
128 (10,10) 1/2
129 (10,9) 1/2
130 (10,8) 1/2
131 (10,7) 1/2
132 (9,7) 1/2
133 (10,7) 1/2
134 (9,7) 1/2
135 (10,7) 1/2
136 (9,7) 1/2
137 (10,7) 1/2
138 (10,6) 1/2
139 (10,7) 1/2
140 (10,6) 1/2
141 (10,7) 1/2
142 (9,7) 1/2
143 (9,6) 1/2
144 (9,7) 1/2
145 (8,7) 1/2
146 (8,6) 1/2
147 (8,7) 1/2
148 (7,7) 1/2
149 (7,6) 1/2
150 (7,5) 1/2
Predict table:
      Down  Up    Right Left
1,1   287   0     287   0     
1,2   255   0     323   255   
1,3   363   0     275   287   
1,4   323   0     255   251   
1,5   275   0     226   287   
1,6   244   0     236   255   
1,7   289   0     228   217   
1,8   257   0     236   236   
1,9   0     0     221   289   
1,10   196   0     0     249   
2,1   257   255   257   0     
2,2   289   287   287   287   
2,3   323   323   319   323   
2,4   359   287   275   287   
2,5   309   255   257   309   
2,6   275   226   266   275   
2,7   233   325   257   257   
2,8   237   228   0     289   
2,9   0     0     0     0     
2,10   186   221   0     0     
3,1   289   228   289   0     
3,2   323   255   325   257   
3,3   366   287   363   289   
3,4   404   309   319   323   
3,5   348   275   262   359   
3,6   309   244   257   295   
3,7   0     221   237   275   
3,8   210   267   210   233   
3,9   186   0     186   237   
3,10   165   196   0     210   
4,1   255   255   325   0     
4,2   289   287   366   289   
4,3   323   412   323   325   
4,4   348   359   348   363   
4,5   309   309   309   392   
4,6   275   275   0     348   
4,7   0     0     0     0     
4,8   186   237   186   0     
4,9   165   210   165   210   
4,10   176   186   0     186   
5,1   0     287   289   0     
5,2   257   325   323   255   
5,3   287   363   359   289   
5,4   239   392   309   323   
5,5   275   348   207   348   
5,6   244   309   193   309   
5,7   217   0     186   207   
5,8   194   210   165   194   
5,9   172   186   176   186   
5,10   156   160   0     169   
6,1   0     0     0     0     
6,2   0     289   287   0     
6,3   319   323   309   257   
6,4   275   348   275   280   
6,5   188   309   244   309   
6,6   217   217   191   275   
6,7   193   193   194   244   
6,8   172   186   176   218   
6,9   166   158   156   194   
6,10   138   176   0     176   
7,1   136   0     0     0     
7,2   0     0     0     0     
7,3   0     359   275   0     
7,4   244   309   188   244   
7,5   0     275   217   212   
7,6   169   244   193   244   
7,7   150   217   172   217   
7,8   153   194   153   193   
7,9   138   172   147   172   
7,10   130   156   0     156   
8,1   153   121   153   0     
8,2   172   0     0     136   
8,3   0     0     0     0     
8,4   217   275   0     0     
8,5   0     0     0     0     
8,6   150   191   150   0     
8,7   153   193   153   169   
8,8   138   172   138   172   
8,9   122   156   130   153   
8,10   115   147   0     138   
9,1   136   136   137   0     
9,2   153   153   153   153   
9,3   137   0     167   137   
9,4   153   244   0     148   
9,5   0     0     0     0     
9,6   133   169   153   0     
9,7   136   150   138   150   
9,8   122   156   122   153   
9,9   108   138   115   138   
9,10   102   130   0     122   
10,1   0     153   153   0     
10,2   0     172   137   136   
10,3   0     153   155   153   
10,4   0     172   0     137   
10,5   0     0     0     0     
10,6   0     150   136   0     
10,7   0     153   122   133   
10,8   0     138   108   136   
10,9   0     122   102   122   
10,10   0     115   0     108   
